parcellation_index,organ,category,division,structure,substructure
1114,brain,grey,Isocortex,TEa,TEa2/3
1115,brain,grey,Isocortex,SSp-ll,SSp-ll5
1120,brain,grey,OLF,NLOT,NLOT3
1127,brain,grey,HY,ME,ME
1159,brain,grey,HPF,DG,DG-mo
1160,brain,grey,HPF,DG,DG-po
1201,brain,grey,Isocortex,SSp-un,SSp-un1
1202,brain,grey,Isocortex,SSp-un,SSp-un2/3
1203,brain,grey,Isocortex,SSp-un,SSp-un4
1204,brain,grey,Isocortex,SSp-un,SSp-un5
1205,brain,grey,Isocortex,SSp-un,SSp-un6a
1206,brain,grey,Isocortex,SSp-un,SSp-un6b
1209,brain,grey,Isocortex,VISa,VISa1
1210,brain,grey,Isocortex,VISa,VISa2/3
1211,brain,grey,Isocortex,VISa,VISa4
1212,brain,grey,Isocortex,VISa,VISa5
1213,brain,grey,Isocortex,VISa,VISa6a
1214,brain,grey,Isocortex,VISa,VISa6b
1216,brain,grey,Isocortex,VISli,VISli1
1217,brain,grey,Isocortex,VISli,VISli2/3
1218,brain,grey,Isocortex,VISli,VISli4
1219,brain,grey,Isocortex,VISli,VISli5
1220,brain,grey,Isocortex,VISli,VISli6a
1221,brain,grey,Isocortex,VISli,VISli6b
1222,brain,grey,Isocortex,VISrl,VISrl1
1223,brain,grey,Isocortex,VISrl,VISrl2/3
1224,brain,grey,Isocortex,VISrl,VISrl4
1225,brain,grey,Isocortex,VISrl,VISrl5
1226,brain,grey,Isocortex,VISrl,VISrl6a
1227,brain,grey,Isocortex,VISrl,VISrl6b
1229,brain,grey,Isocortex,VISpor,VISpor1
1230,brain,grey,Isocortex,VISpor,VISpor2/3
1231,brain,grey,Isocortex,VISpor,VISpor4
1232,brain,grey,Isocortex,VISpor,VISpor5
1233,brain,grey,Isocortex,VISpor,VISpor6a
1234,brain,grey,Isocortex,VISpor,VISpor6b
1270,brain,grey,HPF,ProS,ProS
1279,brain,grey,HPF,APr,APr
1280,brain,fiber tracts,scwm,scwm-unassigned,scwm-unassigned
1281,brain,fiber tracts,lfbs,cc,ccb
1282,brain,fiber tracts,lfbs,lfbst,or
1283,brain,fiber tracts,lfbs,lfbst,ar
1284,brain,fiber tracts,mfbs,mfbc,st
1285,brain,grey,TH,LGd,LGd-sh
1286,brain,grey,TH,LGd,LGd-co
1287,brain,grey,TH,LGd,LGd-ip
1288,brain,grey,Isocortex,FRP,FRP5
1289,brain,grey,Isocortex,FRP,FRP6a
1290,brain,grey,Isocortex,FRP,FRP6b
1291,brain,grey,Isocortex,ORBm,ORBm6b
1293,brain,grey,MB,RPF,RPF
1295,brain,grey,MB,MA3,MA3
1296,brain,grey,P,P5,P5
1297,brain,grey,P,Acs5,Acs5
1298,brain,grey,P,PC5,PC5
1299,brain,grey,P,I5,I5
1300,brain,grey,TH,Eth,Eth
1302,brain,grey,TH,Xi,Xi
1303,brain,grey,TH,PIL,PIL
1304,brain,grey,TH,PoT,PoT
1305,brain,grey,TH,IntG,IntG
1306,brain,grey,HY,VMPO,VMPO
1307,brain,grey,HY,PeF,PeF
1308,brain,grey,HPF,HATA,HATA
1309,brain,grey,MY,Pa5,Pa5
1310,brain,grey,CB,VeCB,VeCB
1311,brain,grey,MB,SCO,SCO
1312,brain,grey,P,PDTg,PDTg
1313,brain,grey,HY,MM,MMl
1314,brain,grey,HY,MM,MMm
1315,brain,grey,HY,MM,MMp
1316,brain,grey,HY,MM,MMd
1317,brain,grey,MB,Pa4,Pa4
1318,brain,grey,MB,PN,PN
1319,brain,grey,MB,IPN,IPR
1320,brain,grey,MB,IPN,IPC
1321,brain,grey,MB,IPN,IPA
1322,brain,grey,MB,IPN,IPL
1323,brain,grey,MB,IPN,IPI
1324,brain,grey,MB,IPN,IPDM
1325,brain,grey,MB,IPN,IPDL
1326,brain,grey,MB,IPN,IPRL
1327,brain,grey,MB,PAG,Su3
